loan_id,application_date,branch,sector,employment_type,loan_amount,tenure_months,interest_rate,annual_income,credit_score,has_collateral,previous_loans,days_past_due_history,recovery_agent_assigned,defaulted
NL200000,2023-01-01,Birgunj-01,Service,Business Owner,417000.0,36,10.28,194000.0,652.0,Yes,2,40,Yes,1
NL200001,2023-01-01,Biratnagar-03,Service,Self-Employed,154000.0,12,9.82,,695.0,Yes,1,0,No,0
NL200002,2023-01-01,Kathmandu-03,Trade,Salaried,163000.0,24,13.04,948000.0,565.0,No,2,22,No,0
NL200003,2023-01-01,Lalitpur-01,Tourism,Salaried,634000.0,18,12.98,327000.0,505.0,Yes,2,21,No,0
NL200004,2023-01-01,Birgunj-04,Trade,Salaried,196000.0,60,10.08,235000.0,643.0,Yes,3,2,No,0
NL200005,2023-01-01,Birgunj-03,Trade,Salaried,214000.0,24,14.62,240000.0,430.0,Yes,0,7,Yes,1
NL200006,2023-01-01,Birgunj-03,Trade,Salaried,246000.0,12,12.01,472000.0,603.0,Yes,1,7,No,0
NL200007,2023-01-01,Lalitpur-03,Construction,Business Owner,257000.0,24,10.13,1616000.0,696.0,Yes,1,5,No,0
NL200008,2023-01-01,Birgunj-01,Agriculture,Salaried,496000.0,12,12.64,948000.0,617.0,No,1,19,Yes,1
NL200009,2023-01-01,Kathmandu-03,Service,Business Owner,120000.0,48,14.16,1010000.0,491.0,No,2,5,No,0
NL200010,2023-01-01,Lalitpur-02,Tourism,Informal,258000.0,18,10.38,,783.0,Yes,0,0,No,0
NL200011,2023-01-01,Biratnagar-04,Trade,Salaried,709000.0,48,11.36,965000.0,641.0,Yes,1,1,No,0
NL200012,2023-01-01,Butwal-01,Construction,Informal,1468000.0,36,12.52,,660.0,No,1,10,Yes,1
NL200013,2023-01-01,Butwal-03,Trade,Salaried,107000.0,12,9.5,591000.0,723.0,Yes,2,10,No,0
NL200014,2023-01-01,Janakpur-04,Service,Business Owner,380000.0,60,10.93,331000.0,623.0,Yes,1,3,No,0
NL200015,2023-01-02,Nepalgunj-03,Trade,Informal,257000.0,60,11.28,893000.0,614.0,Yes,2,2,No,0
NL200016,2023-01-02,Pokhara-04,Tourism,Business Owner,275000.0,36,12.36,321000.0,757.0,No,1,60,Yes,0
NL200017,2023-01-02,Dharan-04,Construction,Salaried,164000.0,24,12.03,735000.0,562.0,Yes,0,3,No,0
NL200018,2023-01-02,Kathmandu-04,Manufacturing,Salaried,523000.0,36,11.73,386000.0,727.0,No,1,25,No,0
NL200019,2023-01-02,Nepalgunj-03,Trade,Salaried,503000.0,12,11.79,265000.0,533.0,Yes,2,0,No,0
NL200020,2023-01-02,Pokhara-04,Trade,Informal,1967000.0,48,12.34,380000.0,571.0,Yes,1,5,Yes,1
NL200021,2023-01-02,Dharan-03,Service,Salaried,110000.0,12,10.13,1656000.0,668.0,Yes,2,1,No,0
NL200022,2023-01-02,Janakpur-03,Service,Self-Employed,80000.0,36,10.47,237000.0,776.0,No,2,0,No,0
NL200023,2023-01-02,Dharan-01,Trade,Self-Employed,1385000.0,36,11.0,904000.0,654.0,Yes,0,23,No,0
NL200024,2023-01-02,Janakpur-01,Manufacturing,Self-Employed,285000.0,60,14.39,823000.0,507.0,No,0,2,No,0
NL200025,2023-01-02,Kathmandu-01,Manufacturing,Self-Employed,211000.0,36,9.45,,708.0,Yes,1,6,No,0
NL200026,2023-01-02,Lalitpur-03,Construction,Self-Employed,342000.0,36,13.94,347000.0,565.0,No,1,7,No,0
NL200027,2023-01-03,Butwal-02,Service,Self-Employed,104000.0,36,9.93,225000.0,700.0,Yes,1,21,No,0
NL200028,2023-01-03,Birgunj-02,Service,Self-Employed,393000.0,24,12.82,1087000.0,667.0,No,1,12,No,0
NL200029,2023-01-03,Lalitpur-01,Service,Self-Employed,279000.0,6,13.79,234000.0,497.0,No,1,2,No,0
NL200030,2023-01-03,Dharan-01,Trade,Self-Employed,664000.0,60,11.16,120000.0,674.0,No,4,9,No,0
NL200031,2023-01-03,Kathmandu-03,Manufacturing,Self-Employed,564000.0,24,12.51,592000.0,523.0,Yes,2,13,Yes,1
NL200032,2023-01-03,Janakpur-04,Agriculture,Business Owner,600000.0,36,11.04,212000.0,768.0,No,1,4,Yes,1
NL200033,2023-01-03,Lalitpur-03,Trade,Self-Employed,342000.0,18,14.03,457000.0,491.0,Yes,2,15,No,0
NL200034,2023-01-03,Biratnagar-02,Service,Self-Employed,988000.0,24,11.54,213000.0,,Yes,0,43,No,0
NL200035,2023-01-03,Nepalgunj-01,Construction,Salaried,457000.0,24,13.15,341000.0,550.0,Yes,0,55,No,0
NL200036,2023-01-03,Birgunj-01,Service,Salaried,199000.0,60,10.92,510000.0,,No,0,10,No,0
NL200037,2023-01-03,Dharan-02,Service,Business Owner,162000.0,12,13.49,579000.0,493.0,Yes,1,1,No,0
NL200038,2023-01-03,Dharan-01,Agriculture,Informal,176000.0,24,10.19,1121000.0,850.0,Yes,1,11,Yes,0
NL200039,2023-01-03,Janakpur-02,Manufacturing,Salaried,461000.0,12,12.69,489000.0,606.0,Yes,0,1,Yes,0
NL200040,2023-01-03,Biratnagar-03,Trade,Self-Employed,109000.0,24,13.82,523000.0,586.0,No,0,51,No,0
NL200041,2023-01-04,Janakpur-04,Agriculture,Self-Employed,333000.0,24,11.61,421000.0,713.0,No,1,23,No,0
NL200042,2023-01-04,Birgunj-01,Construction,Business Owner,159000.0,12,12.38,867000.0,637.0,No,5,1,No,0
NL200043,2023-01-04,Nepalgunj-04,Trade,Salaried,116000.0,36,11.61,243000.0,559.0,Yes,0,15,No,0
NL200044,2023-01-04,Dharan-02,Trade,Informal,131000.0,36,12.87,373000.0,567.0,No,1,9,No,0
NL200045,2023-01-04,Lalitpur-02,Agriculture,Salaried,291000.0,36,12.18,489000.0,593.0,Yes,2,23,No,0
NL200046,2023-01-04,Butwal-02,Manufacturing,Informal,526000.0,36,12.67,279000.0,574.0,Yes,2,5,No,0
NL200047,2023-01-04,Nepalgunj-04,Service,Salaried,179000.0,12,9.81,1162000.0,717.0,Yes,2,4,No,0
NL200048,2023-01-04,Lalitpur-02,Service,Salaried,63000.0,24,10.84,596000.0,648.0,Yes,0,12,No,0
NL200049,2023-01-04,Nepalgunj-02,Agriculture,Salaried,3159000.0,36,11.28,229000.0,684.0,No,0,14,No,0
NL200050,2023-01-04,Lalitpur-01,Service,Salaried,686000.0,36,12.81,630000.0,600.0,No,1,5,No,0
NL200051,2023-01-04,Nepalgunj-03,Trade,Informal,597000.0,36,10.87,1102000.0,701.0,Yes,1,14,No,0
NL200052,2023-01-04,Dharan-04,Trade,Self-Employed,1005000.0,24,12.94,,574.0,No,1,7,Yes,1
NL200053,2023-01-04,Lalitpur-03,Service,Salaried,318000.0,36,13.12,,552.0,Yes,0,15,No,0
NL200054,2023-01-04,Dharan-02,Construction,Informal,268000.0,36,11.0,,592.0,Yes,2,19,No,0
NL200055,2023-01-04,Lalitpur-01,Manufacturing,Salaried,820000.0,24,11.52,554000.0,775.0,No,0,5,No,0
NL200056,2023-01-04,Birgunj-03,Service,Salaried,816000.0,12,12.43,1028000.0,,Yes,0,34,No,0
NL200057,2023-01-04,Janakpur-01,Construction,Salaried,470000.0,36,12.72,555000.0,590.0,No,0,3,No,0
NL200058,2023-01-04,Bhaktapur-01,Service,Self-Employed,575000.0,36,11.35,623000.0,661.0,Yes,2,26,No,0
NL200059,2023-01-04,Lalitpur-03,Service,Informal,117000.0,36,11.3,518000.0,628.0,Yes,1,15,No,0
NL200060,2023-01-04,Biratnagar-01,Trade,Salaried,244000.0,18,12.88,165000.0,537.0,No,2,10,Yes,1
NL200061,2023-01-04,Pokhara-03,Agriculture,Business Owner,1064000.0,12,12.59,631000.0,528.0,Yes,1,1,Yes,1
NL200062,2023-01-04,Kathmandu-02,Agriculture,Salaried,542000.0,36,11.02,572000.0,711.0,No,1,1,No,0
NL200063,2023-01-04,Biratnagar-03,Agriculture,Salaried,99000.0,6,12.58,386000.0,527.0,Yes,1,2,No,0
NL200064,2023-01-04,Bhaktapur-03,Service,Business Owner,199000.0,24,10.28,120000.0,,Yes,0,33,No,0
NL200065,2023-01-04,Lalitpur-01,Service,Business Owner,942000.0,24,12.27,719000.0,596.0,Yes,0,54,No,0
NL200066,2023-01-05,Bhaktapur-04,Trade,Self-Employed,417000.0,6,15.49,287000.0,419.0,No,1,9,Yes,1
NL200067,2023-01-05,Kathmandu-01,Tourism,Salaried,340000.0,24,9.77,243000.0,701.0,Yes,0,12,Yes,1
NL200068,2023-01-05,Janakpur-01,Trade,Salaried,348000.0,12,11.05,229000.0,716.0,No,1,11,No,0
NL200069,2023-01-05,Janakpur-04,Manufacturing,Business Owner,279000.0,12,10.55,145000.0,695.0,Yes,0,21,No,0
NL200070,2023-01-05,Pokhara-03,Agriculture,Self-Employed,200000.0,60,10.9,651000.0,596.0,Yes,2,15,No,0
NL200071,2023-01-05,Nepalgunj-04,Trade,Self-Employed,159000.0,24,11.33,2107000.0,606.0,Yes,1,4,No,0
NL200072,2023-01-05,Biratnagar-03,Service,Salaried,633000.0,60,12.74,341000.0,597.0,No,0,7,No,0
NL200073,2023-01-05,Janakpur-01,Trade,Business Owner,354000.0,24,13.16,813000.0,572.0,No,1,6,No,0
NL200074,2023-01-05,Lalitpur-03,Manufacturing,Salaried,504000.0,36,11.11,461000.0,667.0,No,2,6,No,0
NL200075,2023-01-05,Bhaktapur-04,Tourism,Business Owner,447000.0,6,12.59,580000.0,621.0,No,0,11,Yes,1
NL200076,2023-01-05,Dharan-02,Service,Business Owner,853000.0,18,11.65,469000.0,596.0,Yes,3,6,No,0
NL200077,2023-01-05,Bhaktapur-01,Tourism,Salaried,417000.0,18,11.7,794000.0,572.0,Yes,2,1,No,1
NL200078,2023-01-05,Nepalgunj-01,Trade,Self-Employed,550000.0,12,10.66,231000.0,654.0,Yes,2,23,Yes,1
NL200079,2023-01-05,Biratnagar-02,Service,Self-Employed,336000.0,60,10.11,520000.0,760.0,Yes,2,3,No,0
NL200080,2023-01-05,Biratnagar-01,Construction,Self-Employed,146000.0,24,10.59,988000.0,651.0,Yes,1,36,No,0
NL200081,2023-01-05,Biratnagar-03,Construction,Informal,250000.0,24,13.13,755000.0,511.0,Yes,3,4,Yes,1
NL200082,2023-01-05,Dharan-04,Service,Self-Employed,462000.0,24,11.2,599000.0,638.0,Yes,2,10,No,0
NL200083,2023-01-06,Kathmandu-01,Manufacturing,Salaried,493000.0,12,9.54,519000.0,686.0,Yes,1,12,No,0
NL200084,2023-01-06,Dharan-03,Construction,Self-Employed,881000.0,48,10.02,391000.0,707.0,Yes,3,6,No,0
NL200085,2023-01-06,Dharan-04,Agriculture,Self-Employed,210000.0,36,9.74,393000.0,689.0,Yes,3,10,No,0
NL200086,2023-01-06,Nepalgunj-01,Manufacturing,Salaried,351000.0,12,11.51,187000.0,653.0,Yes,1,4,No,0
NL200087,2023-01-06,Janakpur-04,Trade,Business Owner,269000.0,24,9.34,668000.0,,Yes,0,0,No,0
NL200088,2023-01-06,Dharan-04,Trade,Salaried,1003000.0,6,14.55,1140000.0,527.0,No,2,7,No,0
